id,created_at,text
324583813902655489,2013-04-17 18:03:06,"b'RT @muftimenk: Attitude can take away your beauty no matter how good looking you are or it could enhance your beauty, making you adorable.'"
324397718099353601,2013-04-17 05:43:37,"b""I'm a stress free kind of guy"""
324348831938519040,2013-04-17 02:29:22,b'Nowadays everybody wanna talk like they got somethin to say but nothin comes out when they move their lips; just a bunch of gibberish'
324268440082841600,2013-04-16 21:09:55,b'@ImRealTed fake story'
324211255869067266,2013-04-16 17:22:41,"b'So then I says to him, I says, relax bro my beard is not loaded'"
324210172862025729,2013-04-16 17:18:23,"b""@therealAbdul_ #heavy I've been looking for those, there is a shortage on the black market if you wanna make a quick buck, nuff said.."""
324209310936752129,2013-04-16 17:14:57,b'@therealAbdul_ you need to get Claritin clear'
324017963587993600,2013-04-16 04:34:37,"b""There are people that know the truth but stay silent &amp; there are people that speak the truth but we don't hear them cuz they're the minority"""
323998162249474048,2013-04-16 03:15:56,b'@mellochamp *say'
323997583372599297,2013-04-16 03:13:38,"b'@MelloChamp and they what ""god hates dead people?"" Or victims of tragedies? Lol those people are cooked'"
323997002985787393,2013-04-16 03:11:19,"b""@MelloChamp what's new with them?"""
323950071777472514,2013-04-16 00:04:50,"b""Ain't no love in the heart of the city, stay safe people"""
323641800747257857,2013-04-15 03:39:52,"b""@xXjungaXx good luck my brother, I'm sure you'll get in"""
323641287335096320,2013-04-15 03:37:50,b'@xXjungaXx where yu going?'
323635098173984768,2013-04-15 03:13:14,b'@biggblakk92 oh ight'
323631833038323712,2013-04-15 03:00:16,"b'@biggblakk92 yo bigblack why are you saying ""is"" instead of ""as""'"
323250941048545280,2013-04-14 01:46:44,"b""And here I thought nemo's dad was about to get it with dory but apparently this man turned into a female #thatscray"""
323233907229220865,2013-04-14 00:39:03,b'RT @TroyCrossley: @J_tsar just called me a pervert cus i like @GameOfThrones hmmmmmmm lol'
323233878879899649,2013-04-14 00:38:56,"b'@TroyCrossley @gameofthrones every character on that show got some sort of std bro, I do like the show tho'"
323233216330858496,2013-04-14 00:36:18,"b""@TroyCrossley ahaha word mayne but that's not why I like the show... Lol fair to say all those hoes are prolly dirty..."""
323230431082332160,2013-04-14 00:25:14,"b""@TroyCrossley lets not get ahead of ourselves now Troy, it's a good show but breaking bad we can relate to a little bit more, I like meth"""
323189623058739200,2013-04-13 21:43:05,"b""Got me a haircut, I don't usually do those"""
323140070888599552,2013-04-13 18:26:11,"b""@Kid_Wavyy lol dam that's not an easy task bruh, I'll see what I can do"""
323135034930393089,2013-04-13 18:06:10,b'@Kid_Wavyy yea man never get into a family plan with foreigners'
322570432064675840,2013-04-12 04:42:38,b'\xee\x81\x90\xee\x94\xa8\xee\x94\xad\xee\x94\xa1\xee\x94\xa5 the furious 5'
322556096764051456,2013-04-12 03:45:40,"b""@DamnItGIO you know I'm not for that res dog"""
322554643215429632,2013-04-12 03:39:54,"b'Dreams really do come true, last night I dreamt I was eating a cheeseburger and in the afternoon today, guess what I was eating...'"
322552492137254912,2013-04-12 03:31:21,"b'Now we aint come here to start no drama, we just looking for our future baby mamas'"
322227639635038208,2013-04-11 06:00:30,b'Most of you are conditioned by the media'
322143347143741440,2013-04-11 00:25:33,"b'Gain knowledge, get women, acquire currency #livestrong'"
